Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7rIHxFXrmVnl8OJxOtut6A,"henna tattoo","fade into the dawn","Field Medic",2019-04-19,145780,40,false,1a74b63i0zf75qotyz7k0d8ew,2021-09-24T00:28:25Z,"","Run For Cover Records",0.683,0.844,4,-6.409,1,0.0522,0.573,0.736,0.0643,0.6,92.58,4
spotify:track:6rDnB1z5znXce3PgAAk2SU,"Little Palm Tree","Songs for Little John","Sonntag",2018-07-22,300600,26,false,1a74b63i0zf75qotyz7k0d8ew,2021-09-24T00:30:21Z,"","Maphia Inc.",0.809,0.368,5,-13.53,1,0.0368,0.725,0.0000671,0.129,0.546,115.049,4
spotify:track:77M6qz95GOyucnekTWx3z5,"Apalachee Plain","New Ways","Leif Vollebekk",2019-11-01,220986,0,false,1a74b63i0zf75qotyz7k0d8ew,2021-09-24T00:33:24Z,"","Secret City Records",0.66,0.406,9,-7.8,1,0.0322,0.673,0.000157,0.134,0.461,107.531,4
spotify:track:2FMuoG8zdNhyfkCI2ZMgFe,"Rodeo","Hotel Parties","Futurebirds",2015-09-25,233173,53,false,1a74b63i0zf75qotyz7k0d8ew,2021-09-24T00:33:37Z,"alt country","Easy Sound Recording Company",0.57,0.803,11,-6.29,1,0.028,0.0104,0.000351,0.0945,0.608,110.767,4
spotify:track:6IxHk0uFSBTwTiNDsWfqIv,"Darkside","Industry Plant","iann dior,Travis Barker",2019-11-08,154870,0,true,1a74b63i0zf75qotyz7k0d8ew,2021-09-24T00:33:55Z,"melodic rap,rap rock","TenThousand Projects, LLC",0.695,0.869,5,-6.914,1,0.0264,0.71,0,0.343,0.92,123.991,4
