Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:70Vdm3Z2pYubMwfJyuD5fA,"Sin Ti","Boleros de Siempre","Los Panchos",2022-01-13,164493,46,false,1212606595,2025-01-30T23:51:34Z,"bolero","vintage productions distributed by Altafonte",0.74,0.423,2,-11.327,1,0.033,0.801,0.00000542,0.315,0.552,111.495,4
spotify:track:760r2LXNtMaHDKMQ5wkXbi,"Cien años","15 Inmortales de Pedro Infante","Pedro Infante",1998,212706,68,false,1212606595,2025-01-30T23:53:06Z,"mariachi,bolero,ranchera,música mexicana","MCM Mexico/WMI",0.553,0.166,7,-14.61,1,0.0314,0.907,0.000128,0.139,0.61,104.341,4
spotify:track:4hNMKnvmj6RL3E46iQLtjX,"Aquellos Ojos Verdes","Mapache","Mapache",2017-10-06,162333,34,false,1212606595,2025-01-30T23:53:28Z,"neo-psychedelic","Innovative Leisure / Calico Discos",0.665,0.257,2,-11.079,1,0.0287,0.72,0,0.0811,0.647,110.442,4
spotify:track:3ZVmk0FPnVp6d5anmOR2YU,"La Flor","La Flor","Alec André",2023-08-12,211980,3,false,1212606595,2025-02-04T07:09:35Z,"","Alec André",0.683,0.3,0,-13.625,1,0.0399,0.958,0.863,0.334,0.192,105.117,4
spotify:track:3qgUOxcOSf5Lf6MfUCkThu,"Y la Quiero","Mexican Garage Rock '66","Los Apson",2011-02-01,161013,29,false,1212606595,2025-02-04T07:10:04Z,"rock and roll,mexican rock","Garage Masters",0.57,0.299,1,-11.426,0,0.0287,0.806,0,0.0965,0.651,112.3,4
spotify:track:2CrqRpZ4inWYH7kzN4mE2N,"Você é Linda - Live","Live At Carnegie Hall","Caetano Veloso,David Byrne",2012-03-09,252824,35,false,1212606595,2025-02-04T07:13:03Z,"mpb,bossa nova,samba,art rock,art pop","Nonesuch",0.547,0.0641,9,-20.892,1,0.0519,0.921,0.00247,0.7,0.365,93.062,4
spotify:track:6q4QDepOvhnrXDZE3yRVWX,"Quién Te Viera","Mateo Solo Bien Se Lame","Eduardo Mateo",1972-02-15,120226,37,false,1212606595,2025-02-04T07:26:09Z,"candombe,bossa nova,murga","Sondor",0.469,0.102,0,-20.974,0,0.043,0.956,0.00182,0.11,0.575,201.028,4
