Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0ds8HD4pYc88Po0RMygxiO,"Hijos Del Sol","Hijos Del Sol","Hermanos Gutiérrez",2020-09-25,176698,0,false,1a74b63i0zf75qotyz7k0d8ew,2023-06-02T02:49:11Z,"","igroovemusic.com",0.544,0.417,9,-12.453,0,0.0294,0.597,0.805,0.097,0.465,89.056,4
spotify:track:5kViRh5yrBIftTjX44FMwJ,"Bonheur","Samba","Vieux Farka Touré",2017-04-07,338292,31,false,1a74b63i0zf75qotyz7k0d8ew,2023-06-02T02:49:25Z,"","Six Degrees",0.569,0.751,7,-12.826,1,0.0418,0.365,0.856,0.0561,0.758,105.156,4
spotify:track:2OQ1V0e2O56AeIo4ywuYKF,"People Everywhere (Still Alive)","The Universe Smiles Upon You","Khruangbin",2015-11-06,159013,4,false,1a74b63i0zf75qotyz7k0d8ew,2023-06-02T02:49:39Z,"neo-psychedelic","Late Night Tales",0.551,0.648,7,-13.088,1,0.0627,0.043,0.655,0.41,0.807,109.209,4
spotify:track:3c6wivu78aLN7ZXp8UbpaI,"Ai Du (with Ry Cooder)","Talking Timbuktu (with Ry Cooder)","Ali Farka Touré,Ry Cooder",1994-03-28,429973,0,false,1a74b63i0zf75qotyz7k0d8ew,2023-06-02T02:50:20Z,"gnawa,blues,country blues,americana,country rock,roots rock","World Circuit",0.57,0.225,5,-17.168,0,0.029,0.306,0.0586,0.0689,0.408,151.78,3
spotify:track:6hH6QJ9ZAO0Z6m7PfvLoXW,"CHICKEN TERIYAKI","MOTOMAMI","ROSALÍA",2022-03-18,122226,60,false,1a74b63i0zf75qotyz7k0d8ew,2023-06-02T02:50:40Z,"latin","Columbia",0.788,0.4,2,-6.454,1,0.115,0.454,0.000141,0.0686,0.558,97.936,4
spotify:track:3I3EerUWp3ICtbm5Q7FPvD,"Downtown L.A.","Grasshopper","J.J. Cale",1982-03,145773,44,false,1a74b63i0zf75qotyz7k0d8ew,2023-06-02T02:51:00Z,"blues,blues rock,roots rock","Universal International Music B.V.",0.646,0.518,7,-13.986,1,0.0368,0.464,0.386,0.101,0.964,167.664,4
spotify:track:5IwCB4SY1XXL37QC0xYxwp,"Kırşehirin Gülleri","On","Altin Gün",2018-03-30,204466,36,false,1a74b63i0zf75qotyz7k0d8ew,2023-06-02T03:02:01Z,"anatolian rock,psychedelic rock,neo-psychedelic","Bongo Joe",0.503,0.887,2,-5.069,0,0.0367,0.0166,0.313,0.159,0.78,100.103,4
spotify:track:3KskSrYOOWUSIp5kBmgxhx,"Thing of Gold","GroundUP","Snarky Puppy",2012-12-01,385120,35,false,1a74b63i0zf75qotyz7k0d8ew,2023-06-02T03:09:39Z,"jazz fusion,jazz funk,jazz,funk rock,nu jazz","GroundUP",0.347,0.753,5,-8.342,1,0.0462,0.0264,0.902,0.687,0.381,88.976,4
