Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5DSi7heBC8eTIFROBvttnp,"Season Of The Witch","Season Of The Witch (From The Motion Picture Scary Stories To Tell In The Dark)","Lana Del Rey",2019-08-09,247147,64,false,126557914,2024-10-26T01:19:29Z,"","Polydor Records",0.674,0.205,2,-14.173,1,0.0399,0.896,0.0272,0.114,0.355,95.984,4
spotify:track:3banchOoe2giyRK0jaO1c7,"Hell and You","Volume 1","Amigo the Devil",2018-05-04,201000,56,true,126557914,2024-10-26T01:20:17Z,"southern gothic,folk punk,anti-folk,alt country","Regime Music Group",0.718,0.327,9,-7.602,0,0.0292,0.776,0.0000205,0.088,0.507,82.582,4
spotify:track:44zcMuVzpIb0RnzuxipJOn,"How I'd Kill","How I'd Kill","Cowboy Malfoy",2023-02-02,143506,72,false,126557914,2024-10-26T01:20:30Z,"","LUSTRE",0.514,0.368,5,-10.019,0,0.0515,0.73,0.0000072,0.204,0.436,89.318,3
spotify:track:08KTQSs3ickNki7FFTb6fY,"The Cult of Dionysus","Cosmicandy","The Orion Experience,ORION,Linda XO",2006-01-01,187385,67,false,126557914,2024-10-26T01:20:44Z,"","Sweet! Records",0.661,0.836,1,-4.079,0,0.0297,0.00615,0,0.032,0.799,137.507,4
spotify:track:1tdtmYCkDpc6YUvy3IesEb,"Animal Skin","Animal Skin","Bryan Dunn",2015-03-21,174365,37,false,126557914,2024-10-26T01:20:51Z,"","Bryan Dunn",0.578,0.678,9,-4.312,0,0.0279,0.215,0.000017,0.222,0.572,96.037,4
spotify:track:3KWQwppcl2EpUfbq3LXmt0,"Lust for a Vampyr","A Dense Swarm of Ancient Stars","I Monster",2009-03-16,273506,55,false,126557914,2024-10-26T01:20:57Z,"","Twins of Evil",0.588,0.503,1,-12.58,1,0.0305,0.00143,0.187,0.417,0.395,95.734,4
spotify:track:7ArU1U22qrYZbjFgUDzN5S,"Little Fang","Enter The Slasher House","Avey Tare's Slasher Flicks,Avey Tare",2014-04-07,251773,38,false,126557914,2024-10-26T01:21:06Z,"neo-psychedelic","Domino Recording Co",0.694,0.707,11,-6.079,0,0.0774,0.0353,0.0445,0.267,0.428,114.995,4
spotify:track:1ot7IeSbrFOwEWqe1taUXy,"Lucifer My Love","Twin Temple (Bring You Their Signature Sound.... Satanic Doo-Wop)","Twin Temple",2018-07-13,349489,42,true,126557914,2024-10-26T01:24:52Z,"","Pentagrammaton Records",0.398,0.404,10,-7.464,1,0.0265,0.561,0.00358,0.178,0.269,135.988,3
spotify:track:3AZXq6ty10UPcTspnzHAGo,"Wolf Like Me ft. Shovels & Rope","Plays Well With Others","Lera Lynn,Shovels & Rope",2018-06-22,245013,47,false,126557914,2024-10-26T01:25:22Z,"southern gothic,alt country,americana,bluegrass","Single Lock Records",0.351,0.465,9,-10.195,0,0.0563,0.699,0.0000109,0.0904,0.161,158.06,4
spotify:track:4x9yoEqReJGOW7q7O15930,"Nenuphar","Nenuphar","Polo & Pan,I.M YONI",2024-10-18,255040,40,false,1221141861,2024-10-26T01:32:21Z,"french indie pop,french house","Universal Music Division Virgin Music Distribution Deal",0.669,0.874,9,-4.768,0,0.0514,0.02,0.0421,0.0604,0.559,120.992,4
spotify:track:5BJb8IjBwHksNorafXuJFk,"Dorothy - Myd 10th Anniversary Version","Dorothy (Myd 10th Anniversary Version)","Polo & Pan,Myd",2024-08-18,248006,35,false,1221141861,2024-10-26T01:33:04Z,"french indie pop,french house","Universal Music Division Virgin Music Distribution Deal",0.763,0.821,11,-5.867,1,0.04,0.125,0.753,0.37,0.34,128.018,4
spotify:track:7rTFl1nuM4mMGcMAhmOaHi,"Roll Back - TOKiMONSTA Remix","All That Must Be (Remixes)","George FitzGerald,Lil Silva,TOKiMONSTA",2018-03-02,179117,42,false,1221141861,2024-10-26T01:33:38Z,"uk funky","Double Six Records",0.625,0.579,2,-8.297,1,0.0353,0.486,0.433,0.0995,0.158,100.006,4
spotify:track:133cVa6hD2jF2ufxhgcCda,"Haya Ha'ira","Music For Airplanes - A collection of instrumental showpieces and scores for Egyptian films and TV-series (1973-1980)","Hany Mehanna",2021-12-03,96588,18,false,1254236223,2024-10-26T03:21:27Z,"","Souma Records",0.446,0.651,10,-10.086,1,0.0341,0.00569,0.00278,0.136,0.402,106.358,4
spotify:track:6w746tiCILfBxlNb85SkxD,"Rodopiado","Zulusa","Patrícia Bastos",2013-03-31,192933,28,false,1254236223,2024-10-26T03:24:32Z,"nova mpb","Patrícia Bastos [dist. Tratore]",0.88,0.629,10,-9.724,0,0.204,0.233,0.0000101,0.795,0.705,107.978,4
spotify:track:6Yc1ohiuztR1GPnw7kXKJ8,"Tout s'assemble","Aimez ces airs","DjeuhDjoah,Lieutenant Nicholson",2019-03-08,256719,25,false,1254236223,2024-10-26T03:24:57Z,"afrobeat","Hot Casa Records",0.804,0.585,0,-9.974,1,0.0397,0.236,0.564,0.122,0.766,114.005,4
spotify:track:4Pl1hRxEEMkUtC7lGMRim9,"Pedacito de Coco","Pedacito de Coco","Krak In Dub,La Perla",2021-04-02,205314,0,false,1254236223,2024-10-26T03:25:07Z,"dub,jungle,ragga,reggae,latin house,electrocumbia","Galletas Calientes Records",0.839,0.843,9,-6.187,0,0.153,0.104,0.00000808,0.661,0.679,140.003,4
spotify:track:3oQhgsBwOGaxr5dWKAim7Y,"Vamos a la Playa","The Singles 83/87","Righeira",2017-10-27,217327,60,false,1254236223,2024-10-26T03:25:17Z,"italo disco,italo dance","La Bionda Music",0.944,0.73,9,-9.527,0,0.0457,0.162,0.000699,0.114,0.864,128.967,4
spotify:track:6EidGY4S6hkU6fwNdSSabg,"Oh Sheit it's X","Apocalypse","Thundercat",2013-06-03,227086,50,true,1254236223,2024-10-26T03:25:32Z,"","Brainfeeder",0.632,0.682,4,-8.052,1,0.0459,0.000323,0.0248,0.142,0.532,122.983,3
spotify:track:14pwtDdOKxp0gxx0cznRk3,"Bounce","Opium Head","Solace",2019-02-15,217133,9,false,1254236223,2024-10-26T03:25:41Z,"","Eventide Music Productions",0.835,0.618,6,-8.71,1,0.0547,0.0196,0.00486,0.101,0.655,119.951,4
spotify:track:2tMIzKu3vXQzvbDShxjbmu,"Suenos Bravos","Radio Active","Bodysync,Ryan Hemsworth,Giraffage,Daniela Andrade",2022-04-15,210440,45,false,1254236223,2024-10-26T03:26:29Z,"lo-fi indie,chillwave,future bass","Bodysync",0.764,0.654,2,-8.372,1,0.0385,0.205,0.386,0.148,0.579,120.036,4
spotify:track:5qKg6NjasyO21VnmYbj2OC,"Mirage (Aka La Luna aka Stasera La Luna) - Original Version","Mirage (Aka La Luna aka Stasera La Luna)","Scotch",2015-09-24,234710,34,false,1254236223,2024-10-26T03:27:10Z,"italo disco,italo dance,hi-nrg","Amd Records",0.788,0.906,10,-7.222,1,0.0495,0.0554,0.0023,0.824,0.969,124.077,4
spotify:track:5cpWKbKN3Zlwr8i6I5mEDa,"And the Beat Goes On - Radio Version","The Whispers: Greatest Hits","The Whispers",2008-04-01,208666,46,false,1254236223,2024-10-26T03:27:34Z,"post-disco,quiet storm,disco,classic soul","Unidisc",0.805,0.624,11,-6.882,0,0.111,0.186,0.000938,0.0572,0.944,114.937,4
spotify:track:4yKZACkuudvfd600H2dQie,"Get Down On It - Single Version","The Very Best Of Kool & The Gang","Kool & The Gang",1999-03-01,212906,64,false,1254236223,2024-10-26T03:27:50Z,"disco,funk","Mercury Records",0.879,0.626,7,-6.344,1,0.0604,0.205,0.0000607,0.056,0.968,110.864,4
spotify:track:7oOOI85fVQvVnK5ynNMdW7,"Rock with You - Single Version","Off the Wall","Michael Jackson",1979-08-10,220626,82,false,1254236223,2024-10-26T03:27:59Z,"","Epic",0.808,0.535,1,-12.521,1,0.0353,0.179,0.0000991,0.158,0.848,114.031,4
spotify:track:15BQ7vEDv2LJuh8TxWIhtd,"The Passenger","Lust For Life","Iggy Pop",1977-08-29,283360,75,false,1254236223,2024-10-26T03:28:11Z,"proto-punk,glam rock","Virgin Catalog",0.498,0.889,0,-5.413,1,0.0544,0.0937,0.00000162,0.734,0.696,134.882,4
spotify:track:07GvNcU1WdyZJq3XxP0kZa,"Go Your Own Way - 2004 Remaster","Rumours","Fleetwood Mac",1977-02-04,223613,85,false,1254236223,2024-10-26T03:28:29Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.583,0.947,5,-5.12,1,0.0378,0.0185,0.00109,0.0679,0.803,135.448,4
spotify:track:0UMfconu33lpuioJ696nKv,"Genius of Love","Genius of Love","Toro y Moi,Brijean",2024-05-17,205000,37,false,1254236223,2024-10-26T03:29:55Z,"chillwave","A24 Music",0.782,0.768,7,-6.132,1,0.0405,0.0358,0.0000148,0.218,0.97,102.989,4
spotify:track:7KXYD0NGzDgZ3J0fQ72SGZ,"Soul Control","What's Your Pleasure?","Jessie Ware",2020-06-26,239280,47,false,1254236223,2024-10-26T03:30:07Z,"","EMI",0.892,0.693,3,-8.872,0,0.0434,0.078,0.000861,0.0608,0.938,124.016,4
spotify:track:4cVHMHgmWgudD399ZdhQ3L,"Let's Dance - 2002 Remaster","Let's Dance","David Bowie",1983,247600,68,false,1254236223,2024-10-26T03:30:50Z,"glam rock,art rock","Parlophone UK",0.654,0.641,8,-9.771,1,0.0482,0.00535,0.00321,0.209,0.794,114.696,4
spotify:track:0qi4b1l0eT3jpzeNHeFXDT,"Just Can't Get Enough","Speak and Spell (Deluxe)","Depeche Mode",1981-11-02,220893,77,false,1254236223,2024-10-26T03:32:05Z,"new wave,synthpop,darkwave","Venusnote Ltd.",0.766,0.772,0,-9.362,1,0.0353,0.403,0.0584,0.183,0.919,128.168,4
spotify:track:3NYCaxkggl0Hh8vQptSUvV,"Enola Gay - Remastered 2003","Organisation","Orchestral Manoeuvres In The Dark",1980-10-24,213693,70,false,1254236223,2024-10-26T03:32:34Z,"new wave,synthpop","EMI Marketing",0.559,0.764,2,-7.058,0,0.0348,0.00441,0.0299,0.0807,0.932,143.319,4
